Cust_ID,Name,Avg_Mthly_Spend,No_Of_Visits,Apparel_Items,FnV_Items,Staples_Items
767,Elvia,4000,19,4,6,7
768,Celeste,4175,19,3,6,6
769,Johnny,4622,18,5,7,10
770,Jerlene,4436,18,5,7,7
771,Rebbeca,4308,18,5,6,6
772,Millicent,4934,15,3,8,7
773,Eulah,4672,18,5,7,8
774,Son,4306,19,3,7,9
775,Jolynn,4261,17,5,8,6
776,Kory,4954,19,3,6,8
777,Dion,4790,20,4,7,7
778,Terica,4330,15,4,6,6
779,Luciano,4342,19,4,6,8
780,Genevie,4332,19,3,8,5
781,Rozella,4900,19,4,8,5
782,Deonna,4096,17,5,8,9
783,Gabriel,4503,19,5,7,7
784,Andre,4884,15,4,6,9
785,Theresia,4577,19,3,8,10
786,Basilia,4754,16,5,7,9
787,Archie,4024,16,3,6,7
788,Rousseau,4434,17,3,6,7
789,Cloud,4888,16,3,6,8
790,Limon,4487,16,5,6,10
791,Lentz,4453,15,3,6,9
792,Bowden,4575,17,3,6,7
793,Ott,4447,15,3,8,5
794,Tribble,4731,20,4,7,7
795,Fulton,4736,15,5,6,9
796,Saavedra,4669,17,5,8,9
797,Upton,4618,17,4,8,5
798,Culbertson,4037,16,5,8,7
799,Noel,4416,15,4,6,9
800,Truitt,4129,15,5,6,7
801,Strand,4168,20,4,7,10
802,Gifford,4569,17,5,6,8
803,Roach,4141,19,4,7,10
804,Wiley,4930,15,4,6,9
805,Ligon,4685,18,5,7,7
806,Burdette,4672,15,5,8,6
807,Held,4996,16,4,7,5
808,Titus,4633,18,4,8,5
809,Sisson,4523,18,5,6,5
810,Boisvert,4902,16,4,7,8
811,Cowan,4230,20,3,7,10
812,Rayburn,4490,19,4,6,9
813,Porterfield,4042,18,3,6,5
814,Randolph,4162,18,3,7,6
815,Tapp,4181,20,4,8,9
816,Neil,4215,15,3,7,5
817,Tripp,4960,19,4,6,5
818,Fife,4180,15,3,7,10
819,Buffington,4112,18,4,7,6
820,Baez,4994,19,4,6,7
821,Miranda,4147,17,5,6,5
822,Street,4681,20,3,8,6
823,Messenger,4125,18,3,7,9
824,March,4272,18,4,6,10
825,Mccue,4639,17,4,7,10
826,Dumas,4522,19,3,8,8
827,Bock,4499,15,4,8,9
828,Mcreynolds,4069,20,4,7,10
829,Blount,4730,18,5,8,9
